Rewards,Lengths,Loss,Q1,Best_Distances
55.9,1081,0.04974,0.04304,826
24.6,30,0.05993,0.0375,314
80.35,214,0.07925,0.08866,898
23.45,36,0.09745,0.11024,296
62.15,87,0.1087,0.14265,698
24.75,40,0.11943,0.15743,316
113.6,173,0.15253,0.21213,1222
139.95,326,0.16502,0.25094,1525
63.05,97,0.23774,0.6922,710
23.7,42,0.2032,0.84292,298
60.65,102,0.19956,0.83347,687
102.25,259,0.19819,0.84948,1127
59.45,101,0.22344,0.83243,675
24.05,34,0.20529,0.83795,305
103.55,209,0.21083,0.858,1130
132.7,162,0.21755,0.86814,1415
63.1,90,0.27656,1.53962,706
113.15,273,0.23721,1.4349,1235
76.75,169,0.2506,1.46163,865
81.9,146,0.23191,1.46221,898
141.6,250,0.23666,1.41712,1523
64.35,85,0.2589,1.44928,722
81.55,155,0.28609,2.08942,899
24.85,33,0.25804,1.97188,310
103.05,290,0.26583,1.99603,1137
61.65,97,0.26033,2.01177,705
63.75,93,0.27263,1.96386,711
25.05,35,0.29556,1.92068,313
104.05,159,0.25668,1.99608,1130
72.15,216,0.28341,2.20933,814
61.75,99,0.2967,2.47981,702
24.65,30,0.21953,2.46735,312
156.9,288,0.31207,2.4698,1669
61.7,138,0.30466,2.5088,722
82.15,147,0.30598,2.45134,899
132.95,217,0.30511,2.39989,1438
24.8,33,0.32102,2.63527,312
74.55,187,0.35514,2.88835,838
134.4,164,0.30515,2.78236,1434
71.9,197,0.3027,2.80348,816
24.35,36,0.41603,2.7077,311
128.85,280,0.33376,2.70437,1398
169.3,201,0.39093,2.92501,1786
103.75,189,0.33979,3.13752,1128
80.35,163,0.35296,3.16312,898
24.75,30,0.34815,3.05241,313
131.0,328,0.36478,3.08765,1421
62.2,100,0.34638,3.0436,699
23.6,31,0.21453,3.09562,310
24.9,39,0.33722,3.03953,314
24.0,33,0.31363,3.03437,303
102.75,228,0.39593,3.45782,1126
60.75,114,0.26288,3.41365,690
62.55,81,0.34036,3.32698,697
63.05,86,0.32778,3.4194,708
104.35,183,0.32448,3.37067,1127
23.95,28,0.40683,3.28008,310
76.85,150,0.37292,3.36708,853
62.95,176,0.36413,3.25967,722
63.35,95,0.33921,3.21161,707
78.95,281,0.32828,3.2433,899
133.35,198,0.37004,3.16798,1433
65.3,71,0.44568,3.19903,723
23.45,35,0.37714,3.2369,302
24.9,30,0.36756,3.24961,312
144.0,214,0.33547,3.17644,1530
63.0,79,0.36288,3.44037,707
104.65,120,0.37503,3.55494,1127
24.75,35,0.36059,3.50657,315
80.8,201,0.38231,3.50233,898
63.3,94,0.38905,3.5578,709
24.6,38,0.37155,3.54138,311
59.4,115,0.38853,3.50487,679
104.6,132,0.33438,3.50752,1123
24.6,28,0.26048,3.51935,314
25.1,29,0.37791,3.5289,314
63.7,153,0.38394,3.49247,723
61.05,104,0.34074,3.85573,685
22.95,44,0.35437,3.86424,298
24.5,31,0.62433,3.70594,309
24.8,30,0.38143,3.54325,310
24.7,33,0.36131,3.80205,311
61.2,84,0.48131,3.67052,686
103.45,198,0.43125,3.68738,1127
22.95,40,0.24613,3.65379,296
64.05,91,0.38062,3.67132,713
24.05,43,0.42325,3.68012,308
61.15,80,0.36364,3.66604,681
22.75,42,0.44797,3.7295,295
25.1,31,0.45514,3.59516,315
24.1,36,0.36372,3.64217,300
72.7,234,0.36613,3.89849,831
63.05,91,0.36535,4.12063,709
166.1,361,0.43082,4.07584,1790
143.0,241,0.398,4.03126,1534
21.85,41,0.44803,4.03808,285
102.75,266,0.39773,4.08884,1129
60.65,67,0.44391,4.15346,680
143.2,174,0.41514,4.19371,1529
105.05,180,0.51543,4.07298,1135
62.8,99,0.42993,4.19496,710
61.4,106,0.38319,4.14018,693
104.25,161,0.41935,4.14158,1128
23.7,36,0.4189,4.22464,307
64.05,78,0.4649,4.14027,711
22.85,37,0.59342,4.38479,295
184.9,278,0.4364,4.31347,1947
23.7,30,0.56708,4.33903,309
24.1,29,0.37194,4.37448,309
155.05,389,0.46241,4.28989,1673
59.45,88,0.54804,4.28788,681
25.6,30,0.50319,4.29444,315
99.85,372,0.47366,4.46979,1126
103.45,163,0.43744,4.49438,1125
22.2,45,0.52174,4.40384,286
102.6,156,0.48755,4.48106,1123
24.7,30,0.5972,4.49944,310
24.4,30,0.48487,4.44234,312
133.3,306,0.53106,4.46437,1442
24.1,32,0.47618,4.58694,315
61.25,69,0.36062,4.6429,681
102.55,275,0.4443,4.56541,1128
24.1,29,0.36864,4.57644,313
25.3,30,0.67488,4.51245,311
22.6,37,0.47247,4.49208,295
61.0,69,0.50136,4.57284,681
23.5,36,0.56399,4.49688,299
24.8,38,0.7654,4.47817,307
23.9,36,0.51442,4.40274,308
23.0,40,0.60177,4.63754,295
62.35,80,0.58891,4.46741,694
130.85,194,0.52258,4.51166,1401
132.4,171,0.56919,4.51493,1414
134.35,141,0.49702,4.59908,1432
24.95,30,0.35617,4.45583,310
24.0,29,0.4489,4.57745,308
25.1,30,0.6574,4.65786,315
133.55,203,0.5138,4.53098,1431
81.7,131,0.46014,4.53735,898
103.95,203,0.4853,4.53162,1128
129.45,265,0.51446,4.57559,1412
23.15,43,0.63478,4.51338,294
133.8,251,0.54912,4.53658,1436
74.35,134,0.45204,4.64394,835
61.85,97,0.35455,4.62173,703
24.8,34,0.51638,4.57884,311
61.15,89,0.52026,4.62922,684
103.5,177,0.47637,4.60169,1126
60.5,85,0.53408,4.66569,679
62.1,94,0.36205,4.71042,691
60.0,94,0.46745,4.74445,680
24.25,32,0.49235,4.62096,309
63.4,84,0.46904,4.66963,703
103.55,199,0.54246,4.66584,1133
24.85,29,0.57588,4.78197,314
61.9,86,0.52808,4.55792,689
70.6,163,0.55314,4.65841,799
21.9,42,0.43357,4.75002,285
24.6,35,0.35158,4.64677,310
104.35,159,0.51581,4.68702,1127
157.15,229,0.54569,4.68599,1672
73.75,128,0.52545,4.73127,817
60.9,111,0.509,4.70164,694
60.7,69,0.45443,4.70977,678
133.85,187,0.60316,4.68154,1431
60.2,76,0.4625,4.72608,680
81.65,171,0.53281,4.74337,898
23.55,35,0.53672,4.81577,302
62.85,108,0.5505,4.80003,705
62.2,97,0.5069,4.79171,699
134.05,212,0.43327,4.83546,1438
59.6,103,0.48361,4.78423,684
104.55,152,0.55772,4.76335,1124
23.25,35,0.38908,4.73507,304
82.15,124,0.4668,4.82064,898
74.2,237,0.52771,4.87478,847
24.65,30,0.35287,4.89004,313
25.4,39,0.3594,4.8823,314
81.1,157,0.48232,4.89768,898
133.95,198,0.44879,4.89236,1434
24.05,32,0.59621,4.91036,311
24.4,39,0.57329,4.85571,309
103.6,194,0.66777,4.76633,1125
71.6,142,0.57821,4.83697,805
23.5,39,0.41503,5.02864,300
23.4,36,0.67881,4.95422,294
80.55,204,0.53384,4.89539,899
22.45,36,0.58007,4.66035,296
185.6,288,0.51424,4.88463,1956
78.3,197,0.41715,4.91136,898
23.9,39,0.41095,4.95112,304
75.35,157,0.53106,4.86698,845
76.3,164,0.56659,4.96378,853
103.95,147,0.49409,5.01499,1127
25.7,30,0.47491,4.98193,315
22.6,35,0.22054,4.93434,295
24.7,33,0.36574,4.93888,311
58.2,239,0.48556,4.93366,680
143.35,171,0.50489,4.97491,1523
24.35,30,0.56092,4.94624,315
135.4,183,0.56632,4.97753,1443
59.65,99,0.50571,5.05858,675
23.65,36,0.4887,5.04641,303
25.4,32,0.30956,5.05413,313
75.75,142,0.52401,5.02912,846
24.65,35,0.6378,5.07048,314
60.95,67,0.36101,5.1317,678
24.45,29,0.89227,4.97199,310
63.0,80,0.62031,4.89677,702
131.75,289,0.56362,5.01286,1423
23.95,37,0.34996,4.90493,312
104.45,155,0.45768,5.04299,1124
75.55,162,0.47127,5.05924,848
104.45,183,0.51268,5.03228,1140
114.1,183,0.53044,5.02142,1229
22.75,35,0.59584,4.91475,298
24.7,35,0.61536,4.99579,311
60.9,87,0.60186,5.01366,684
23.2,37,0.52117,4.98527,296
128.8,318,0.55422,5.00164,1403
24.3,28,0.68318,5.17447,311
131.1,216,0.61142,5.02841,1410
23.2,40,0.52223,5.03309,297
60.2,112,0.55413,5.03584,682
25.1,34,0.46856,5.08714,314
62.75,91,0.51883,5.02197,701
76.45,147,0.46393,5.05216,854
157.05,255,0.55003,5.0262,1671
60.75,107,0.72469,5.03294,684
22.0,40,0.34815,5.10262,295
75.4,136,0.52963,5.06195,834
24.8,30,0.81959,4.97178,311
81.4,145,0.49492,4.99901,899
101.95,272,0.53058,5.03959,1127
63.1,83,0.81148,4.98688,710
25.35,30,0.47799,5.00474,314
24.6,34,0.45822,5.09434,315
60.4,96,0.46319,5.05379,680
61.35,78,0.46369,5.18758,679
168.55,259,0.43093,5.18406,1781
61.85,99,0.50909,5.18503,712
104.2,151,0.66452,5.11573,1128
102.8,186,0.74096,5.10291,1123
24.25,35,0.75226,5.09656,304
59.9,101,0.53244,5.13792,681
24.9,28,0.50315,5.14962,312
75.85,174,0.59981,5.17925,843
76.1,128,0.51073,5.27402,843
24.15,31,0.80176,5.23606,313
71.4,215,0.62968,5.18432,805
23.1,37,0.78714,5.29374,300
21.4,45,0.57692,5.179,284
24.8,32,0.62761,5.16661,312
61.3,98,0.56063,5.26957,689
24.8,31,0.7007,5.18982,312
102.65,205,0.48305,5.20936,1122
101.75,287,0.51375,5.28213,1128
134.15,166,0.58969,5.26923,1435
61.05,107,0.52076,5.30792,692
24.1,37,0.65752,5.30645,306
62.2,83,0.60296,5.25594,696
64.05,88,0.59938,5.28149,708
70.45,192,0.5203,5.28725,801
130.5,208,0.57153,5.27602,1407
76.2,259,0.5894,5.27779,866
103.85,169,0.55269,5.28981,1130
60.15,104,0.70284,5.24407,682
24.3,39,0.54523,5.30933,302
24.6,31,0.82342,5.27675,315
192.0,249,0.57322,5.25682,2017
130.95,329,0.51757,5.33295,1428
22.65,35,0.45276,5.37251,303
64.0,95,0.50372,5.32835,711
