Rewards,Lengths,Loss,Q1,Best_Distances
63.3,89,0.90399,5.67295,708
25.1,31,0.7608,5.71353,315
60.35,150,0.90053,5.67262,689
61.35,118,0.89752,5.62443,697
103.35,230,0.93433,5.60674,1127
24.15,30,0.97638,5.64514,313
25.0,30,0.65741,5.62187,314
24.9,30,0.80813,5.6225,312
135.4,144,0.91235,5.61853,1435
62.2,70,0.86924,5.6697,699
104.45,144,0.97607,5.60894,1125
104.6,142,0.8699,5.58359,1130
64.75,90,0.96493,5.54788,722
104.35,165,0.72775,5.63631,1129
24.75,30,0.68545,5.66241,314
104.05,169,0.74529,5.60022,1127
61.0,109,0.78017,5.60406,684
24.25,30,0.6968,5.62233,313
81.5,169,0.87202,5.60804,898
23.9,35,0.8222,5.54999,308
25.0,30,0.81712,5.59928,314
25.1,30,0.61625,5.62408,315
61.0,78,0.68083,5.62107,683
24.8,30,0.62253,5.62692,312
24.9,30,0.48745,5.69344,312
24.5,35,0.8007,5.71578,310
23.4,37,0.6386,5.62479,299
25.0,30,0.95616,5.61945,314
25.0,30,1.07445,5.60683,314
143.25,186,0.74316,5.60392,1525
133.85,221,0.80193,5.62491,1433
61.5,68,1.01945,5.57346,696
25.0,30,0.93396,5.54671,314
24.0,33,0.73162,5.59802,304
62.7,107,0.71733,5.65178,706
25.0,30,0.83915,5.61438,314
104.35,193,0.76749,5.67551,1130
24.25,30,0.85292,5.72345,314
62.35,94,0.70389,5.70433,697
24.05,33,0.86158,5.62899,307
24.9,30,0.4383,5.64945,313
103.55,218,0.7236,5.70386,1127
24.25,30,0.59049,5.69979,314
133.5,231,0.85778,5.6537,1434
24.5,30,0.85252,5.65085,314
24.7,30,0.90947,5.68611,311
63.2,79,0.89024,5.59013,705
60.65,77,0.65945,5.6614,677
24.75,30,1.05622,5.66934,314
24.0,33,0.49341,5.57158,304
25.2,31,0.82845,5.58917,316
24.6,30,0.94506,5.64052,310
24.9,29,0.62875,5.65777,312
104.45,159,0.80222,5.61953,1129
62.75,93,0.66588,5.67054,706
25.0,34,0.77489,5.62752,314
62.5,107,0.57016,5.65611,704
104.55,212,0.75291,5.62591,1126
21.95,33,0.39857,5.73137,300
25.0,30,0.58784,5.7573,314
25.0,31,0.99385,5.65748,314
24.9,30,0.82023,5.53211,313
61.15,92,0.77168,5.60067,685
24.75,30,1.11913,5.65677,314
25.0,30,0.54984,5.58289,314
25.0,30,0.99201,5.62324,314
25.0,30,0.73432,5.65392,314
60.65,113,0.66002,5.65103,684
24.75,30,0.46198,5.68012,314
63.75,83,0.80955,5.63201,709
23.65,34,0.77343,5.63026,301
24.8,30,0.50303,5.6683,312
24.9,30,1.02132,5.68808,313
25.0,30,1.006,5.63366,314
63.3,173,0.85287,5.61553,722
24.9,30,0.73758,5.60119,313
25.0,30,0.90603,5.66366,314
105.05,126,0.91797,5.59294,1129
63.4,78,0.81512,5.60821,707
24.75,30,0.86709,5.57435,314
65.15,92,0.66497,5.65829,723
24.55,30,0.64398,5.65235,312
23.6,35,1.1662,5.65311,300
24.5,33,0.84798,5.57353,304
24.5,30,0.50705,5.63303,314
24.0,35,1.11701,5.73954,300
102.85,213,0.84685,5.63246,1129
24.55,33,1.00679,5.59754,312
24.6,33,1.00914,5.65164,305
24.6,28,0.91805,5.6459,314
24.9,30,1.03371,5.62091,313
104.75,147,0.92976,5.6077,1130
63.4,78,0.82692,5.6061,707
60.6,103,0.76498,5.68287,684
63.05,108,0.85206,5.67136,712
25.0,30,1.08374,5.71044,314
62.6,117,0.72428,5.77602,707
73.6,166,0.77728,5.76069,822
